Unique ID,Sample Date,Latitude (degree),Longitude (degree),Subregion,Water Sample Depth (m),Sampling Method,Mesh Size (mm),Microplastics Measurement,Unit,Concentration Class,Short Reference,DOI,Organization,Year,Month,Season,Log Microplastics Measurement
0276422-0000160,2014-08-26 05:00:00,40.988333,2.831667,Balearic Sea,0.0,Manta net,0.33,2.670203,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2014,8,Summer,1.3002469738882505
0253450-0000055,2013-06-13 05:00:00,39.80334,4.403955,Western Basin,0.0,Neuston net,0.2,2.542651,pieces/m3,High,Suaria et al. 2016,https://doi.org/10.1038/srep37551,"Institute of Marine Sciences – National Research Council, Italy",2013,6,Summer,1.2648753169389113
0260245-0000078,2014-08-18 05:00:00,31.7495,34.5525,Eastern Basin,0.1,Manta net,0.333,2.132038,pieces/m3,High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",2014,8,Summer,1.1416839108774322
0260245-0000096,2015-02-01 06:00:00,31.8705,34.6625,Eastern Basin,0.1,Manta net,0.333,2.462656,pieces/m3,High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",2015,2,Winter,1.2420359246501735
0276422-0000837,2022-06-21 05:00:00,41.884998,8.618333,Western Basin,0.0,Manta net,0.33,0.096637,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2022,6,Summer,0.09224822407153524
0314559-0000002,2011-08-31 05:00:00,42.5855,8.7295,Western Basin,0.2,Plankton net,0.2,0.0,pieces/m3,Very Low,Collignon et al. 2014,https://doi.org/10.1016/j.marpolbul.2013.11.023,"University of Liège, Belgium",2011,8,Summer,0.0
0275966-0000021,2018-11-29 06:00:00,36.760775,2.80062,Western Basin,0.0,Manta net,0.33,1.096444,pieces/m3,High,Setiti et al. 2021,https://doi.org/10.12681/mms.24899,University Campus of Dely Ibrahim,2018,11,Autumn,0.7402425760866214
0270528-0000007,2019-10-15 05:00:00,37.9142,23.62655,Aegean Sea,0.0,Manta net,0.33,0.051702,pieces/m3,Medium,Tsiaras et al. 2022,https://doi.org/10.3389/fmars.2022.784937,"Hellenic Centre for Marine Research, Greece",2019,10,Autumn,0.05040980422502694
0260245-0000075,2014-08-18 05:00:00,32.059167,34.748333,Eastern Basin,0.1,Manta net,0.333,0.812937,pieces/m3,Medium,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",2014,8,Summer,0.5949481821342033
0259524-0000043,2015-06-16 05:00:00,37.5,26.3,Aegean Sea,0.0,Manta net,0.333,0.066667,pieces/m3,Medium,Adamopoulou et al. 2021,https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",2015,6,Summer,0.06453883363752234
0276422-0000350,2017-07-30 05:00:00,42.856067,6.182017,Western Basin,0.0,Manta net,0.33,0.140737,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2017,7,Summer,0.13167454474904383
0270520-0000005,2013-07-08 05:00:00,43.3025,6.6375,Western Basin,0.1,Manta net,0.333,0.39597,pieces/m3,Medium,Pedrotti et al. 2016,https://doi.org/10.1371/journal.pone.0161581,Sorbonne Universités,2013,7,Summer,0.33358951413792126
0253140-0000003,2015-03-17 05:00:00,37.56,-0.861667,Western Basin,0.0,Manta net,0.335,0.283,pieces/m3,Medium,de Haan et al. 2019,https://doi.org/10.1016/j.marpolbul.2019.01.053,University of Barcelona,2015,3,Spring,0.24920108563349935
0260245-0000028,2013-11-17 06:00:00,32.059167,34.748333,Eastern Basin,0.1,Manta net,0.333,0.572597,pieces/m3,Medium,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",2013,11,Autumn,0.45272839290463035
0259524-0000035,2015-06-11 05:00:00,37.9,24.7,Aegean Sea,0.0,Manta net,0.333,0.206667,pieces/m3,Medium,Adamopoulou et al. 2021,https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",2015,6,Summer,0.18786201341262576
0314559-0000025,2012-03-26 05:00:00,42.5855,8.7295,Western Basin,0.2,Plankton net,0.2,0.05,pieces/m3,Medium,Collignon et al. 2014,https://doi.org/10.1016/j.marpolbul.2013.11.023,"University of Liège, Belgium",2012,3,Spring,0.04879016416943201
0276422-0000776,2021-06-18 05:00:00,37.2615,15.270167,Ionian Sea,0.0,Manta net,0.33,0.333747,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2021,6,Summer,0.28799227433420177
0260245-0000042,2014-02-09 06:00:00,32.171667,34.791167,Eastern Basin,0.1,Manta net,0.333,0.423477,pieces/m3,Medium,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",2014,2,Winter,0.3531024702468005
0276422-0000879,2022-10-04 05:00:00,41.171001,9.486834,Tyrrhenian Sea,0.0,Manta net,0.33,0.029961,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2022,10,Autumn,0.029520937447012216
0270530-0000091,2014-10-01 05:00:00,43.0726,6.2372,Western Basin,0.16,Manta net,0.333,4.75602,pieces/m3,High,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,2014,10,Autumn,1.7502462636542482
0260245-0000022,2013-10-27 05:00:00,32.726333,34.939,Eastern Basin,0.1,Manta net,0.333,11.506908,pieces/m3,Very High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",2013,10,Autumn,2.526281131659008
0314557-0000004,2013-05-08 05:00:00,45.5566,13.6499,Adriatic Sea,0.075,Neuston net,0.3,8.19,pieces/m3,High,Gajšt et al. 2016,https://doi.org/10.1016/j.marpolbul.2016.10.031,"University of Nova Gorica, Slovenia",2013,5,Spring,2.2181159363675955
0276422-0000045,2013-08-18 05:00:00,39.272017,2.217867,Balearic Sea,0.0,Manta net,0.33,0.740681,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2013,8,Summer,0.5542764159678779
