Strategy,Samples Used,Log MAE mean,Log MAE std,Log RMSE mean,Log RMSE std,Log R2 mean,Log R2 std,Original MAE mean,Original MAE std,Original RMSE mean,Original RMSE std,Original R2 mean,Original R2 std
geographic,80,0.4042049636345723,0.023759019989829478,0.5887814034394261,0.037437379189844536,-0.008813164882752633,0.13302610153046127,1.1894555199131447,0.1035061643380049,3.2727353699385695,0.1612571502880084,-0.0015498945053199708,0.09559335727394198
hybrid,80,0.39507257368942095,0.02832268743849912,0.5869122739167285,0.0320561673597722,-0.0014655438210420923,0.1119857080735676,1.170772733711146,0.09701748336988185,3.308221495171376,0.05285292342756182,-0.021390482082590534,0.032573124340462264
random,80,0.42871647765867393,0.04848740327189012,0.5985081029671023,0.0466048822886732,-0.04430849123086964,0.16829214632117656,1.3064658517075052,0.2646740096117163,3.7236032530626546,1.0516781781433449,-0.3865660708297709,0.9057323717860047
uncertainty,80,0.4435026971445595,0.06607362987464484,0.6177704396294492,0.08751167158888863,-0.1265561472205578,0.3606018630922613,1.3104436715754524,0.3136953832176435,3.3821300986345277,0.4294901628278373,-0.08278265389706808,0.31276862869195715
geographic,90,0.4006731225151026,0.026696023120144307,0.5874062325680578,0.04145612966857137,-0.004950690735567575,0.14881587953525055,1.1900806311726118,0.11262428291810264,3.314986584284109,0.11679255780975221,-0.02648201480906538,0.07434387881001452
hybrid,90,0.39155600195033463,0.016099557576441714,0.5771130022578046,0.020317841044680925,0.033212364869849985,0.06796259544224544,1.1529822646200736,0.05578612286699021,3.279356075424089,0.040207374036535654,-0.003549500521146165,0.02452474058220003
random,90,0.42343922240140897,0.04560265432104563,0.5947192322946581,0.04611132659495852,-0.03108042049637828,0.1656841347082127,1.2976650775280596,0.25912309748816564,3.7048783950821558,1.0555980776729785,-0.3742813133216796,0.9007278470186036
uncertainty,90,0.43126441612316385,0.06646698777675068,0.6062885534960374,0.0885283012186512,-0.08627194022703974,0.35953901806685984,1.282300566361261,0.30418328992125815,3.352099520485484,0.39624239796538213,-0.061608004311572026,0.28272665479321396
geographic,100,0.39127688383111714,0.028374595340780896,0.5768957797165477,0.04305998978799279,0.030177917782180864,0.15554190698479106,1.1616961010824605,0.13756966939758825,3.3015680908861063,0.11071310180315971,-0.018081898556826924,0.07058441769988476
hybrid,100,0.390546148370409,0.021515233375972484,0.5765140471155809,0.025534542016198227,0.034591641825553486,0.08726003325090355,1.1537354472624874,0.06525559386825577,3.279813640462193,0.04815206172032947,-0.003888479371592124,0.029483803029218113
random,100,0.42722642713054865,0.045312956732751854,0.5898331646423534,0.03797031572317083,-0.012512335101040328,0.1349019443099806,1.2505094833135502,0.18087051116977962,3.40852558582029,0.5990610498999671,-0.11415293388813716,0.4652308922642938
uncertainty,100,0.4317383553776786,0.06635984304055471,0.6076070528615187,0.09066725478438578,-0.09191289343259343,0.3755061054113646,1.2814233886472741,0.3273148625359102,3.3820890335015568,0.4559510143435318,-0.0847242100542095,0.3355133123268931
geographic,110,0.38957972006121583,0.02433374723700966,0.5724733624865788,0.02660303056574092,0.047907827617785836,0.09123725480198433,1.1437240281018173,0.08022815908419395,3.2644931276709976,0.036401176689208,0.005549870239760624,0.022181409449949414
hybrid,110,0.3878300565827724,0.023465230081102625,0.5769598283650152,0.028495409308947516,0.032683254375187466,0.09908354193853683,1.1519399488387954,0.07945321613654627,3.2847681164933826,0.059748756471538295,-0.007028199140935365,0.03688301237249428
random,110,0.4187548338304066,0.037210000051543984,0.5810769108427566,0.024880703919700584,0.019362633688716213,0.08518935304871705,1.2143183208544304,0.10814213616339892,3.2819286166362303,0.23235399675607815,-0.009522275421153614,0.15463771193459844
