Strategy,Random State,Samples Used,Uncertainty Weight,Geographic Weight,Log MAE,Log RMSE,Log R2,Original MAE,Original RMSE,Original R2
random,3,140,,,0.3961336219533036,0.5688791449145838,0.06164925651870212,1.157724594402534,3.2363316992268736,0.02274264108552504
random,3,150,,,0.3937199777420435,0.5620121654730253,0.08416632201000696,1.1504929348088795,3.2156095713501225,0.0352172704243876
random,3,160,,,0.39556398969849055,0.5635367235736735,0.07919085878836973,1.1544156329609376,3.2170589313087725,0.03434736843207764
random,3,170,,,0.3877518368551921,0.5614101038979576,0.0861274643489891,1.1413156991496787,3.217885536590546,0.03385106660428272
random,3,180,,,0.390741947205281,0.5622913817648975,0.08325609543130696,1.1458370896012255,3.2173169831580646,0.0341924452884107
random,3,190,,,0.3919396033326258,0.5638460406880708,0.07817974387114379,1.1490106769296244,3.2198521542986307,0.032669777718807524
random,3,200,,,0.40076735708811206,0.5709397648020379,0.05483907133606303,1.170863968183064,3.225710317763539,0.029146675829622715
uncertainty,3,30,,,0.4942283076189447,0.624108050852741,-0.12939210267454193,1.3315281529904188,3.283768059240389,-0.0061155092984357395
uncertainty,3,40,,,0.4572983289755212,0.6056965952064748,-0.06373988024374833,1.2651584494106296,3.291034396821251,-0.01057311011715667
uncertainty,3,50,,,0.43437618519222376,0.59199709467717,-0.016165222601386642,1.2060375961286633,3.2924788011633335,-0.011460367028720109
uncertainty,3,60,,,0.41565328100352156,0.586713294253432,0.0018931534846972076,1.1745593482815082,3.299656935841622,-0.015875467987721104
uncertainty,3,70,,,0.44177958335606127,0.5946478197143923,-0.025285554420447554,1.2199002417394815,3.2891034958634835,-0.009387620136109387
uncertainty,3,80,,,0.4030789201560765,0.5756277939959168,0.03925377250319728,1.155013180313386,3.2749135412489885,-0.0006969432931156483
uncertainty,3,90,,,0.39847701115740775,0.5699608574859548,0.05807735260725233,1.1463799492950388,3.2579712846405866,0.009630175012712572
uncertainty,3,100,,,0.3950222933997394,0.5697885231154154,0.058646869281490766,1.142701594548706,3.257083708227767,0.010169718846549047
uncertainty,3,110,,,0.40091399088838275,0.5827881284389785,0.015203333800469787,1.1595773005252434,3.289054484902837,-0.00935753857230015
uncertainty,3,120,,,0.3915416560736625,0.5757091758377643,0.038982094083950924,1.141245920475899,3.2852007684973192,-0.0069936379816299965
uncertainty,3,130,,,0.3975867189996698,0.5759999191135305,0.03801118703878259,1.1558022348266566,3.2794303885326506,-0.003459222212276458
uncertainty,3,140,,,0.39446025071962837,0.5675735843666887,0.06595128786590176,1.140122179937136,3.2605781815979262,0.008044633102984866
uncertainty,3,150,,,0.39924748793515513,0.5730784307775018,0.04774490987113145,1.1534246696399335,3.2630161397518136,0.006560693968479692
uncertainty,3,160,,,0.3973596780843925,0.5715787153889299,0.05272238900950943,1.1470079521309768,3.2742146285753426,-0.0002698632273634427
uncertainty,3,170,,,0.39904121221399225,0.5746912471603295,0.04237749889050779,1.1512037063396807,3.276960302374352,-0.0019481687779479007
uncertainty,3,180,,,0.40754141201835964,0.5747789382822959,0.04208523274323217,1.1662179720330375,3.271367637884151,0.001468887112743289
uncertainty,3,190,,,0.41957184812913745,0.5769130640998035,0.03495864646252955,1.1864908168572985,3.264742640495228,0.0055091346832361054
uncertainty,3,200,,,0.4185282476912019,0.5762259365572966,0.037256086548931866,1.184833173495106,3.2639772112488576,0.005975403080501707
geographic,3,30,,,0.4942283076189447,0.624108050852741,-0.12939210267454193,1.3315281529904188,3.283768059240389,-0.0061155092984357395
geographic,3,40,,,0.4427253236685246,0.5962305721087885,-0.030750748272594386,1.2320463951602367,3.286811198987029,-0.007981151899384642
geographic,3,50,,,0.4367009994303777,0.5948909381437728,-0.026124090309615378,1.2279654152610948,3.292153228597812,-0.011260342982940319
geographic,3,60,,,0.4230384783123078,0.5920194450840056,-0.016241953163321332,1.2011921656476845,3.2973915554231104,-0.014481047632374677
geographic,3,70,,,0.41584507181591523,0.5884635076473078,-0.004070595967210933,1.177861889606554,3.299064609630116,-0.015510778160668925
geographic,3,80,,,0.38481971369825785,0.5637905239977923,0.07836126111707975,1.1152637848295337,3.288004579960463,-0.00871324378535343
geographic,3,90,,,0.38266306339718326,0.5620649474675119,0.08399429086533716,1.1121620702065413,3.288525382140093,-0.009032818560097855
geographic,3,100,,,0.3866164778151565,0.5646848214266262,0.07543509326917675,1.1160421189984255,3.289369388323413,-0.00955082534141738
geographic,3,110,,,0.38503633994308384,0.5654109074536432,0.07305590675521068,1.1136888293719158,3.2907342523225243,-0.010388788659770887
geographic,3,120,,,0.3779498885358846,0.5618982982963698,0.08453739166782215,1.101322208272304,3.291452778537876,-0.010830070170891215
geographic,3,130,,,0.37884352455399023,0.5621983756717622,0.08355933933746795,1.1029700334072159,3.291132285213874,-0.010633227901801545
geographic,3,140,,,0.3726971335468242,0.5624691877465895,0.08267622411450759,1.0934028280493344,3.296697893532649,-0.014054266153006312
geographic,3,150,,,0.3737103357369567,0.5656471223129013,0.07228123579190604,1.098760183843801,3.2987502257408563,-0.015317241474444243
geographic,3,160,,,0.3770526411454861,0.5647283340993147,0.07529260018757356,1.105670063296905,3.291031720392083,-0.010571466423459075
geographic,3,170,,,0.3811384230214558,0.5647210488575484,0.07531645829105671,1.1136054309074845,3.2890345371709917,-0.00934529533792916
geographic,3,180,,,0.3786518221041111,0.5637286652021687,0.07856349344390012,1.109030405728362,3.2900660310808525,-0.009978488313797218
geographic,3,190,,,0.375854332405783,0.5592339844414747,0.09319837929342056,1.1044668543907592,3.279471667595665,-0.003484483987799658
geographic,3,200,,,0.3687879219670571,0.5550831980423703,0.10660947892893935,1.0892662879857,3.2814664635223845,-0.004705629198283878
hybrid,3,30,0.3,0.7,0.4942283076189447,0.624108050852741,-0.12939210267454193,1.3315281529904188,3.283768059240389,-0.0061155092984357395
hybrid,3,40,0.3,0.7,0.4427253236685246,0.5962305721087885,-0.030750748272594386,1.2320463951602367,3.286811198987029,-0.007981151899384642
hybrid,3,50,0.3,0.7,0.4291380136828586,0.5808686763810255,0.02167963978401044,1.2118536838980933,3.2321205565702202,0.025284217818285937
hybrid,3,60,0.3,0.7,0.38109469965677467,0.567210225682568,0.06714685468091741,1.114255030498006,3.289094109771985,-0.009381859179633967
hybrid,3,70,0.3,0.7,0.3783814145148713,0.5625029412788934,0.08256612440624722,1.1035111373327202,3.289779993232709,-0.009802881190643653
