Unique ID,Sample Date,Latitude (degree),Longitude (degree),Subregion,Water Sample Depth (m),Sampling Method,Mesh Size (mm),Microplastics Measurement,Unit,Concentration Class,Short Reference,DOI,Organization,ObjectId,x,y
0289355-0000004,10/9/2018 5:00:00 AM,41.094444,1.239444,Balearic Sea,0,Neuston net,0.08,3,pieces/m3,High,Expósito et al. 2021,https://doi.org/10.1016/j.scitotenv.2021.147453,"Universitat Rovira i Virgili, Spain",21752,137974.274946778,5026282.12861031
0276422-0000620,9/13/2020 5:00:00 AM,39.2345,7.625,Western Basin,0,Manta net,0.33,2.082767,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22050,848811.117298711,4755317.56650122
0270530-0000041,7/25/2014 5:00:00 AM,37.4212,25.2742,Aegean Sea,0.16,Manta net,0.333,0.20679,pieces/m3,Medium,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,11668,2813511.07420735,4497980.38613531
0253140-0000014,3/24/2015 5:00:00 AM,36.6,-2.68,Alboran Sea,0,Manta net,0.335,0.24,pieces/m3,Medium,de Haan et al. 2019,https://doi.org/10.1016/j.marpolbul.2019.01.053,University of Barcelona,10391,-298336.235325973,4383497.64094478
0260245-0000104,5/18/2015 5:00:00 AM,32.171667,34.791167,Eastern Basin,0.1,Manta net,0.333,0.485889,pieces/m3,Medium,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",11751,3872934.99454374,3785865.74275651
0276422-0000994,6/26/2023 5:00:00 AM,41.16,12.791166,Tyrrhenian Sea,0,Manta net,0.33,0.569801,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22262,1423906.08577223,5035970.34906168
0276422-0000025,8/13/2012 5:00:00 AM,40.432333,5.630667,Western Basin,0,Manta net,0.33,0.793325,pieces/m3,Medium,Faure et al. 2015,https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",21666,626802.983266489,4928968.06820968
0276422-0000853,7/20/2022 5:00:00 AM,43.451668,6.973333,Western Basin,0,Manta net,0.33,0.534786,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22219,776267.878691931,5380974.97454319
0260245-0000014,8/26/2013 5:00:00 AM,31.746667,34.593,Eastern Basin,0.1,Manta net,0.333,5.966405,pieces/m3,High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",10222,3850875.14501171,3730102.47970192
0314559-0000018,12/6/2011 6:00:00 AM,42.5855,8.7295,Western Basin,0.2,Plankton net,0.2,0.08,pieces/m3,Medium,Collignon et al. 2014,https://doi.org/10.1016/j.marpolbul.2013.11.023,"University of Liège, Belgium",23836,971763.494879882,5249092.0343548
0253140-0000019,6/5/2015 5:00:00 AM,41.753333,3.063333,Balearic Sea,0,Manta net,0.335,0.335,pieces/m3,Medium,de Haan et al. 2019,https://doi.org/10.1016/j.marpolbul.2019.01.053,University of Barcelona,10434,341008.669690231,5124101.2407084
0270520-0000001,7/6/2013 5:00:00 AM,43.6536,7.2356,Western Basin,0.1,Manta net,0.333,0.99641,pieces/m3,Medium,Pedrotti et al. 2016,https://doi.org/10.1371/journal.pone.0161581,Sorbonne Universités,11794,805463.30758381,5411991.54160771
0276422-0000974,4/11/2023 5:00:00 AM,42.271332,3.298833,Western Basin,0,Manta net,0.33,0,pieces/m3,Very Low,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22110,367224.409772047,5201710.71480292
0260245-0000030,10/2/2013 5:00:00 AM,31.746667,34.593,Eastern Basin,0.1,Manta net,0.333,2.36189,pieces/m3,High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",11198,3850875.14501171,3730102.47970192
0276422-0000720,9/23/2021 5:00:00 AM,37.098667,15.329833,Ionian Sea,0,Manta net,0.33,0.124809,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22559,1706509.20350592,4452868.63251984
0276422-0000579,7/25/2019 5:00:00 AM,43.157833,6.943167,Western Basin,0,Manta net,0.33,0.380186,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22007,772909.814932661,5336026.57856185
0276422-0000265,8/2/2017 5:00:00 AM,41.285,2.741667,Balearic Sea,0,Manta net,0.33,1.107242,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",21795,305200.974364722,5054470.42077376
0253450-0000068,6/20/2013 5:00:00 AM,39.80334,5.986068,Western Basin,0,Neuston net,0.2,5.687438,pieces/m3,High,Suaria et al. 2016,https://doi.org/10.1038/srep37551,"Institute of Marine Sciences – National Research Council, Italy",10729,666366.04161391,4837405.20332126
0253450-0000004,5/10/2013 5:00:00 AM,41.999167,16.997833,Adriatic Sea,0,Neuston net,0.2,5.717203,pieces/m3,High,Suaria et al. 2016,https://doi.org/10.1038/srep37551,"Institute of Marine Sciences – National Research Council, Italy",10941,1892190.1141491,5160854.66550633
0314180-0000013,5/11/2013 5:00:00 AM,37.0374,13.1838,Eastern Basin,0.25,Neuston net,0.2,0.116,pieces/m3,Medium,Cózar et al. 2015,https://doi.org/10.1371/journal.pone.0121762,"Universidad de Cádiz, Spain",23558,1467613.90272036,4444321.14784311
0276422-0000113,6/30/2014 5:00:00 AM,36.429167,-4.747,Alboran Sea,0,Manta net,0.33,0.267825,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",21941,-528433.62279567,4359835.91548429
0279323-0000011,6/9/2019 5:00:00 AM,42.9287,10.1732,Tyrrhenian Sea,0,Manta net,0.33,0.329775,pieces/m3,Medium,Caldwell et al. 2020,https://doi.org/10.1016/j.marpolbul.2020.111515,"University of Fribourg, Switzerland",20324,1132475.44373813,5301125.54914448
